THCIC_ID	PROVIDER_NAME	FAC_TEACHING_IND	FAC_PSYCH_IND	FAC_REHAB_IND	FAC_ACUTE_CARE_IND	FAC_SNF_IND	FAC_LONG_TERM_AC_IND	FAC_OTHER_LTC_IND	FAC_PEDS_IND	FAC_CARDIOVASCULAR_IND	FAC_CHIROPRACTIC_IND	FAC_ENDOSCOPY_IND	FAC_FOOT_IND	FAC_GASTROENTEROLOGY_IND	FAC_GENERAL_IND	FAC_OB_GYN_IND	FAC_OPTHAMOLOGY_IND	FAC_ORAL_IND	FAC_ORTHOPEDIC_IND	FAC_OTOLARYRGOLOGY_IND	FAC_PAIN_MNGMT_IND	FAC_PLASTIC_IND	FAC_THORACIC_IND	FAC_UROLOGY_IND	FAC_OTHER_IND	FAC_OTHER_LTC_IND	POA_PROVIDER_INDICATOR	CERT_STATUS_IP	CERT_STATUS_OP	
692000	Trinity Mother Frances Rehab Hospital			X																		X				X	X	1	1
694100	Surgery Specialty Hospitals of America-Southeast Housto				X								X	X						X		X	X			X	R	1	1
703000	Corpus Christi Medical Center-Bay Area				X										X												R	1	1
703002	Corpus Christi Medical Center-Doctors Regional				X										X												R	1	1
703003	Corpus Christi Medical Center-Heart Hospital				X										X												R	1	1
703005	Bayview Behavioral Hospital		X																								X	1	8
704004	Corpus Christi Medical Center-Northwest		X																								M	1	1
711900	Big Bend Regional Medical Center				X							X			X		X										X	1	1
714500	Ennis Regional Medical Center				X										X												R	1	2
717500	Physicians Centre Hospital				X				X			X	X	X	X	X		X	X	X	X	X	X	X	X		R	1	1
720000	Texas Health Seay Behavioral Health Center		X																								X	2	8
724200	Texas Health Presbyterian Hospital Allen				X					X		X	X	X	X	X	X			X	X	X	X		X		R	2	2
724700	Houston Methodist Willowbrook Hospital				X					X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	7	7
725400	Christus Mother Frances Hospital-Jacksonville				X	X				X		X	X	X	X		X	X	X	X	X	X			X	X	X	1	1
728200	El Paso Specialty Hospital				X															X		X			X		R	1	1
728800	Grimes St Joseph Health Center				X	X				X		X			X											X	X	7	7
736000	DePaul Center		X																								X	1	8
740000	St Lukes Hospital at the Vintage				X							X		X	X	X	X	X		X					X		R	2	2
750000	Methodist Hospital for Surgery				X															X	X	X					R	1	1
758000	Houston Hospital for Specialized Surgery	X		X	X								X							X		X			X		R	1	1
766000	Green Oaks Hospital		X																								X	1	1
778000	Texas Health Springwood Hospital		X																								X	2	8
781400	Winnie Community Hospital				X	X									X												X	7	7
786800	South Texas Spine & Surgical Hospital				X															X							R	7	7
787400	Baylor Medical Center-Frisco				X							X	X	X	X		X			X	X	X			X		R	1	1
788001	CHRISTUS St Michael Health System				X					X		X	X	X	X	X	X		X	X	X	X	X	X	X	X	R	2	2
788002	Harlingen Medical Center				X							X														X	R	1	1
788003	Christus St Michael Hospital Atlanta				X										X												R	2	2
789800	LifeCare Hospital-Plano						X								X												X	1	2
790200	Texas Spine & Joint Hospital				X										X												R	1	1
790500	Memorial Hermann Surgical Hospital First Colony				X										X												R	1	1
792000	Texas Orthopedic Hospital			X	X															X		X					R	1	1
793000	Mainland Medical Center		X	X	X										X												M	1	1
793100	St Lukes The Woodlands Hospital	X		X	X					X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	2	2
794000	Northwest Hills Surgical Hospital				X							X		X								X					R	1	1
797100	Doctors Hospital-Renaissance	X			X				X	X																X	R	1	2
797101	Womens Hospital-Renaissance	X			X										X		X										R	1	1
797500	Seton Southwest Hospital				X					X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	2	2
797600	Seton Northwest Hospital				X					X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	2	2
799000	East Texas Medical Center Rehab Hospital			X																							X	1	8
799001	USMD Hospital-Arlington				X							X	X	X	X	X	X	X		X	X	X	X	X	X	X	R	1	6
799500	Baylor Surgical Hospital at Las Colinas				X								X		X			X	X	X	X	X			X	X	R	1	1
800010	Houston Methodist West Hospital				X					X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	1	1
801300	Foundation Surgical Hospital of El Paso				X							X	X		X		X	X		X	X	X	X			X	R	1	1
801500	Lubbock Heart Hospital				X					X				X						X					X		R	2	2
802001	McAllen Medical Center	X			X							X		X	X	X	X	X	X	X	X	X	X	X	X	X	M	1	1
802003	McAllen Heart Hospital				X					X		X		X	X									X	X		R	1	1
804500	Baylor Surgical Hospital-Fort Worth				X								X		X	X	X		X	X	X	X	X		X	X	R	1	1
805100	Baylor Medical Center Trophy Club				X								X		X				X	X		X			X	X	R	1	1
806300	Baylor Scott & White Medical Center Centennial				X					X		X	X	X	X	X	X	X		X	X	X	X	X	X	X	R	1	1
812800	Texas Health Harris Methodist Hospital Southlake				X							X	X	X	X			X		X		X	X			X	R	2	2
813100	Texas Institute for Surgery-Texas Health Presbyterian-D				X							X	X	X	X			X		X		X	X		X	X	R	2	2
813800	Memorial Hermann Specialty Hospital Kingwood				X				X			X	X	X	X		X	X		X	X	X			X		M	1	1
814000	Las Colinas Medical Center				X										X												R	1	1
814001	Baylor Scott & White Medical Center-Plano				X										X												R	2	2
815300	Texas Health Center-Diagnostics & Surgery Plano				X							X	X	X	X			X		X		X	X		X	X	R	2	2
818200	Pine Creek Medical Center				X							X	X	X	X		X	X		X		X	X		X		R	1	2
820800	Texas Health Presbyterian Hospital-Denton			X	X				X	X		X	X	X	X	X	X	X	X	X			X	X	X	X	R	2	2
822001	Houston Physicians Hospital				X								X		X	X	X			X	X	X	X	X	X		R	1	1
822800	Westlake Medical Center				X					X		X	X	X	X			X	X	X	X	X	X	X	X	X	R	1	1
823000	Houston Methodist Sugar Land Hospital	X			X					X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	7	7
823400	St Marks Medical Center				X					X		X		X	X		X			X		X				X	R	1	1
829000	Heart Hospital-Austin				X					X																	R	1	1
829900	North Austin Medical Center				X										X												R	6	6
830000	Cornerstone Regional Hospital				X							X		X	X	X	X	X	X	X	X	X				X	R	1	1
832900	Pampa Regional Medical Center		X		X																				X	X	M	1	1
835700	St Davids Georgetown Hospital			X	X										X												M	6	6
838600	St Joseph Medical Center		X	X	X	X				X		X	X	X	X	X	X	X		X	X	X	X	X	X		M	7	7
840200	University General Hospital				X					X		X	X	X	X	X	X			X	X	X	X	X	X	X	R	1	1
842800	Methodist Mansfield Medical Center				X	X				X		X	X	X	X		X			X	X	X	X	X	X		R	1	1
843200	North Cypress Medical Center				X					X		X	X	X	X	X		X		X	X	X		X	X	X	R	1	1
844000	Heart Hospital Baylor Plano				X					X			X											X			R	2	2
844800	Weatherford Regional Medical Center				X					X		X		X	X		X	X	X	X	X	X			X	X	R	1	1
846100	St Lukes Patients Medical Center				X					X		X	X	X	X	X		X		X	X	X	X		X	X	R	1	1
847000	Texoma Medical Center	X	X	X	X				X	X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	1	1
847100	Memorial Hermann Northeast			X	X				X	X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	1	1
850200	Cook Childrens Northeast Hospital				X							X		X	X	X		X		X	X				X		X	6	6
850300	Baylor Scott & White Continuing Care Hospital						X																				X	6	8
852000	Dell Childrens Medical Center								C						X												X	2	2
852100	Foundation Bariatric Hospital-San Antonio				X					X		X	X	X	X	X				X	X	X	X	X	X	X	R	1	1
852600	Baylor Scott & White Medical Center Round Rock				X										X												R	6	6
852900	Physicians Surgical Hospital-Quail Creek				X								X		X	X	X			X		X					R	2	2
858300	Cedar Park Regional Medical Center				X							X			X		X									X	R	6	6
859900	Texas Health Presbyterian Hospital-Rockwall				X							X	X	X	X		X	X		X		X	X		X	X	R	2	2
860600	North Central Surgical Center				X							X	X	X	X					X		X			X		R	1	1
861400	USMD Hospital Fort Worth				X				X				X		X		X		X	X	X	X	X		X		R	1	6
861700	Seton Medical Center Williamson				X					X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	2	2
863300	CHRISTUS Santa Rosa Hospital New Braunfels			X	X								X		X		X			X	X	X	X		X		R	1	1
864600	Carrus Specialty Hospital						X																				X	1	1
865000	The Hospitals of Providence East Campus				X				X	X		X	X	X	X	X	X		X	X	X	X	X	X	X	X	R	1	1
869700	St Lukes Sugar Land Hospital	X		X	X					X		X	X	X	X	X	X	X	X	X	X	X	X	X	X		R	2	2
873200	Baylor Emergency Medical Center at Aubrey				X																					X	R	2	2
874100	Methodist Stone Oak Hospital				X					X		X	X	X	X	X	X			X	X	X	X	X	X		R	1	1
901100	Humble Surgical Hospital				X							X		X	X			X		X	X	X					X	8	1
916000	Emerus Hospital				X																					X	R	8	2
919000	Baylor Scott & White Medical Center Sunnyvale				X					X		X	X	X	X		X			X	X	X	X	X	X		R	1	1
921000	Seton Medical Center Hays				X					X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	2	2
923000	St Lukes Lakeside Hospital			X	X					X		X	X	X	X	X		X	X	X	X	X	X	X	X	X	R	2	2
931000	South Texas Surgical Hospital				X							X	X	X	X		X	X	X	X	X	X	X			X	R	1	1
936000	Baylor Orthopedic and Spine Hospital - Arlington				X															X		X					R	1	1
937000	Methodist McKinney Hospital				X							X		X	X				X	X		X			X	X	R	1	1
943000	Texas Health Presbyterian Hospital Flower Mound				X							X	X	X	X		X	X		X		X	X		X	X	M	2	2
945500	Victory Medical Center Houston				X							X		X	X		X	X		X	X	X	X		X	X	R	1	1
969700	El Paso Childrens Hospital	X		X	X				C	X		X		X	X	X		X		X					X	X	X	6	6
971000	Seton Medical Center Harker Heights				X					X					X		X										R	6	6
971900	Baylor Scott & White Medical Center McKinney				X					X		X	X	X	X	X	X		X	X	X	X	X	X	X	X	R	2	2
972420	Baylor Emergency Medical Center				X										X												R	2	2
972810	Baptist Emergency Hospital Overlook				X																					X	R	2	2
972900	Texas Health Harris Methodist Hospital Alliance				X					X					X		X									X	R	2	2
973000	Baptist Emergency Hospital Westover Hills				X																					X	R	2	2
973100	St Joseph Medical Center-Heights				X							X			X												R	7	7
973120	Baptist Emergency Hospital Schertz				X																					X	R	2	2
973180	Crescent Medical Center Lancaster				X							X		X	X					X		X			X	X	R	1	1
973290	Arise Austin Medical Center				X								X		X	X	X			X	X	X			X		R	1	1
973390	Star Medical Center				X							X	X		X	X				X		X					R	1	1
973530	Nix Behavioral Health Center		X																								X	1	8
973540	Baylor Emergency Medical Center at Keller				X																					X	R	2	2
973550	Baylor Emergency Medical Center at Murphy				X										X												R	2	2
973600	Emerus Community Hospital				X																					X	R	2	2
973610	Baylor Emergency Medical Center at Rockwall				X										X												R	2	2
973640	Houston Methodist St John Hospital				X					X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	7	7
973740	Little River Healthcare - Cameron Hospital				X										X												R	1	1
973750	Walnut Hill Medical Center				X					X		X	X	X	X		X			X	X	X		X	X	X	R	5	5
973840	Parkway Surgical and Cardiovascular Hospital				X					X		X	X							X		X				X	R	2	2
973850	Resolute Health				X					X		X	X	X	X	X	X			X	X	X			X	X	R	7	7
973860	Altus Baytown Hospital				X							X	X	X	X	X	X	X		X	X	X	X		X		R	1	1
973920	Baylor Emergency Medical Center				X										x												R	2	2
973930	CHRISTUS Santa Rosa Hospital Alamo Heights			X	X								X		X		X			X	X	X	X		X		R	1	1
973960	Bay Area Regional Medical Center				X					X		X	X	X	X	X				X	X	X	X	X	X	X	R	1	1
974150	Woodlands Specialty Hospital				X					X		X	X	X	X	X		X		X		X	X		X	X	R	7	7
974220	Baylor Emergency Medical Center				X										X												R	2	2
974380	Texas General Hospital Van Zandt Regional Medical Cente				X							X			X												R	1	1
974390	Pearland Medical Center				X										X												R	7	7
974480	Weimar Medical Center				X																					X	R	1	1
974490	Medical Center of Alliance				X					X		X	X	X	X	X	X		X	X	X	X	X	X	X	X	R	1	1
974800	First Texas Hospital				X								X		X					X							R	1	1
974910	Baylor Scott & White Surgical Hospital at Sherman				X				X			X	X	X	X	X		X	X	X	X	X	X	X	X	X	R	1	1
974920	Plano Surgical Hospital				X							X	X		X	X	X			X		X	X				R	6	6
974940	Baylor Scott & White Medical Center Marble Falls				X					X		X	X	X	X	X	X	X	X	X	X	X	X		X	X	R	6	6
974980	Cumberland Surgical Hospital				X							X	X	X	X	X	X			X		X	X		X		R	1	1
975111	Medical Center of Southeast Texas Victory Campus				X							X	X		X	X	X			X		X	X			X	R	1	1
975112	Cleveland Emergency Hospital				X							X	X	X	X					X		X			X		R	1	2
975122	CHI St Lukes Health Springwoods Village				X							X		X						X	X						R	2	2
975129	First Baptist Medical Center				X							X		X	X					X		X				X	R	1	1
975130	AD Hospital East				X					X		X	X	X	X	X	X	X	X	X	X	X	X	X	X		R	7	7
975131	Bellaire Surgical Hospital				X								X									X	X			X	R	1	1
975138	Memorial Hermann Pearland Hospital				X					X		X	X	X	X	X	X			X	X	X		X	X		R	1	1
975139	Medical City Frisco				X				X			X	X	X	X	X				X	X	X	X		X		R	1	1
975140	League City Campus Hospital	X			X					X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	1	1
975152	Providence Hospital of North Houston				X					X		X	X	X	X		X			X		X	X	X	X	X	R	7	7
975153	Methodist Southlake Hospital				X				X			X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	2	2
975154	Saint Camillus Medical Center				X					X			X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	1	1
975158	New Life Hospital				X					X		X	X	X	X	X				X		X	X		X		R	8	1
975159	Christus Mother Frances Hospital Sulphur Springs	X		X	X				X	X		X	X	X	X		X			X	X				X	X	R	1	1
975165	Baylor Scott & White Medical Center Lakeway				X					X		X	X	X	X	X	X			X	X			X	X	X	R	2	2
975166	First Texas Hospital				X																						R	1	1
975167	Texas Health Hospital Clearfork				X																						R	2	2
975168	Eminent Medical Center				A								X		X	X			X	X		X					R	1	1
975169	St Davids Surgical Hospital				X																						R	1	1
975179	Baptist Emergency Hospital Zarzamora				X										X												R	2	2
975180	Timberlands Hospital				X					X		X	X	X	X		X			X					X	X	R	1	1
975181	CHI St Lukes Health Pinecroft Hospital				X					X		X	X	X	X		X			X		X		X	X	X	R	2	2
